2023-04-29 10:00:11.980 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 698 ms
2023-04-29 10:00:12.549 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-04-29 10:00:12.555 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2023-04-29 10:00:41.630 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-29 10:00:41.651 [main] INFO  top.kjwang.ServerApplication - Starting ServerApplication using Java 17.0.6 with PID 2852 (/Users/wangkaijie/Desktop/api-boot/api-server/target/classes started by wangkaijie in /Users/wangkaijie/Desktop/api-boot)
2023-04-29 10:00:41.651 [main] INFO  top.kjwang.ServerApplication - The following 1 profile is active: "dev"
2023-04-29 10:00:42.165 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-29 10:00:42.167 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-29 10:00:42.189 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces.
2023-04-29 10:00:42.625 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-29 10:00:42.630 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-29 10:00:42.630 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-29 10:00:42.630 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-29 10:00:42.695 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-29 10:00:42.695 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1017 ms
2023-04-29 10:00:43.747 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@652f26da, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@484a5ddd, org.springframework.security.web.context.SecurityContextHolderFilter@65b5b5ed, org.springframework.security.web.header.HeaderWriterFilter@28db2afb, org.springframework.security.web.authentication.logout.LogoutFilter@681b42d3, top.kjwang.security.filter.AuthenticationTokenFilter@7cd1ec54, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@795eddda, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@c6bf8d9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6796a873, org.springframework.security.web.session.SessionManagementFilter@3b576ee3, org.springframework.security.web.access.ExceptionTranslationFilter@6bc62bb9, org.springframework.security.web.access.intercept.AuthorizationFilter@2bf0c70d]
2023-04-29 10:00:43.927 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-29 10:00:43.935 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
